trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
54,0.20286635006374137,0.20286635006374137,0.032935758305818914,0.6276928294585474,nan,nan,nan,nan,nan,0.2616334915601557,0.013548583355244087,0.8818457620724346,0.14409920856732703,0.05232293325639374,0.3735398968446602,0.07798005522208763
23,0.20358854892077372,0.20358854892077372,0.030887689956235583,0.635340696332119,nan,nan,nan,nan,nan,0.2645652472243979,0.013522005067879298,0.8921733526156942,0.14261185061714957,0.04825337484459187,0.3785080400485437,0.0716719668997054
102,0.20449636131101118,0.20449636131101118,0.022918292621545037,0.6584415330346765,nan,nan,nan,nan,nan,0.27150634691402303,0.012770480247036625,0.9183460135814889,0.13748637570799935,0.033066104996053454,0.3985370524878641,0.0630902861811719
27,0.20556101714350233,0.20556101714350233,0.034859086393950856,0.6323158440173811,nan,nan,nan,nan,nan,0.2635769046235188,0.013166368686205954,0.8896032444668008,0.1475451296634859,0.05655180410169576,0.37502844356796117,0.07446043552447242
24,0.20656061264843284,0.20656061264843284,0.031841493441504214,0.6433584106657542,nan,nan,nan,nan,nan,0.2664693723836481,0.0131508084598437,0.899765782193159,0.14665185291321756,0.05053217842316472,0.3869510391383495,0.06924224901501042
97,0.20723382643422525,0.20723382643422525,0.03177646662313086,0.6458772259619611,nan,nan,nan,nan,nan,0.2675096617384523,0.013041569693390497,0.9036798918511066,0.1469579911299982,0.050511363552871225,0.38807456007281554,0.06879804422628927
84,0.20874919637588646,0.20874919637588646,0.05789502160302498,0.58588463330804,nan,nan,nan,nan,nan,0.253134681389371,0.027115540866648496,0.818182532696177,0.1643637113624019,0.08867450233940147,0.3535867339199029,0.10486694073035106
87,0.20892505840369732,0.20892505840369732,0.05818742491692655,0.5857691421206243,nan,nan,nan,nan,nan,0.25252290372954056,0.027079600432624352,0.816131161971831,0.16532721307785408,0.08929524940122875,0.35540712226941745,0.10639024665232397
19,0.20907943120390474,0.20907943120390474,0.058196051867398,0.5862878795451715,nan,nan,nan,nan,nan,0.2528316493299554,0.027096854333567254,0.8171686368209256,0.16532721307785408,0.08929524940122875,0.35540712226941745,0.10605478421931958
20,0.20907943120390474,0.20907943120390474,0.058196051867398,0.5862878795451715,nan,nan,nan,nan,nan,0.2528316493299554,0.027096854333567254,0.8171686368209256,0.16532721307785408,0.08929524940122875,0.35540712226941745,0.10577109614218916
