trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_threshold_amr
36,0.23546178892938896,0.23546178892938896,0.07835127423798659,0.6282380756578947,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.4010164615478232,0.3062421251143208,0.637952302631579,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.39404683828121956
9,0.237408283523402,0.237408283523402,0.08288557719592064,0.6237150493421053,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.4088024399238753,0.32437933694605703,0.619860197368421,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.4052631578947368
38,0.23771497349988885,0.23771497349988885,0.09596296947879175,0.5920949835526316,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.4100291998298229,0.37668890607754146,0.49337993421052634,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.4308376705158453
12,0.23939914816281327,0.23939914816281327,0.12844005742793857,0.516796875,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.4167658984815206,0.5065972578741288,0.1921875,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.5236842105263158
10,0.23947460443260066,0.23947460443260066,0.09770071265300931,0.593909333881579,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.41706772356067007,0.3836398787744117,0.5006373355263158,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.44473684210526315
11,0.24195660093914167,0.24195660093914167,0.11291070513058778,0.5645713404605264,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.4269957095868341,0.44447984868472556,0.38328536184210527,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.4842105263157894
2,0.24425769098212924,0.24425769098212924,0.005907053756239937,0.8401342840468524,nan,nan,nan,nan,nan,0.2820374180338593,0.0012819829485523674,0.9839260057471264,0.25535173339193395,0.01731972938028642,0.8504317434210527,0.1817349007851849,0.00442886109925881,0.625,0.25790671171753893,0.000597641596862153,0.9011793870192307,0.12894736842105264
1,0.25544972888216977,0.25544972888216977,0.0028156022164141964,0.8870350455465588,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2835397525885464,0.00534381151870178,0.9790296052631579,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.08947368421052632
0,0.2834657918084563,0.2834657918084563,0.0026801290167886523,0.9854299487876254,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2894931878011241,0.005290462921573711,1.0,0.2770479573349131,0.003967683747139192,0.9597486413043478,0.2807046712904173,0.00019807826812259818,0.9819711538461539,0.05
13,0.4223645485722283,0.4223645485722283,0.39538702222682814,0.4898083644357287,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.27869227586999723,0.36245537042852244,0.06928453947368421,0.1817349007851849,0.00442886109925881,0.625,1.0490169312182174,1.212644136397812,0.6399489182692307,0.5631578947368421
14,0.44376626998453134,0.44376626998453134,0.44450132523289854,0.4419286318636133,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.28252391588631015,0.3795384164513605,0.03998766447368421,0.1817349007851849,0.00442886109925881,0.625,1.1307921768511164,1.3920183023992554,0.4777268629807692,0.6026315789473684
19,0.9161930384908314,0.9161930384908314,1.2592238540902674,0.058615999492241055,nan,nan,nan,nan,nan,0.09578030772925128,0.09137811089758015,0.10678579980842912,0.28787006745811483,0.39676809444136074,0.015625,2.967791044731633,4.125831375667764,0.07269021739130435,0.3133307340443264,0.4229178353543646,0.03936298076923077,0.8
17,0.9525035288383127,0.9525035288383127,1.3011928756277655,0.08078016186468065,nan,nan,nan,nan,nan,0.1041351556526345,0.07727269492518254,0.17129130747126436,0.28787006745811483,0.39676809444136074,0.015625,2.967791044731633,4.125831375667764,0.07269021739130435,0.4502178475108686,0.6048993374767544,0.06351412259615384,0.7210526315789474
18,0.9528334696722287,0.9528334696722287,1.3026186337914165,0.07837055937425919,nan,nan,nan,nan,nan,0.10545491898829851,0.0829757275797865,0.16165289750957854,0.28787006745811483,0.39676809444136074,0.015625,2.967791044731633,4.125831375667764,0.07269021739130435,0.4502178475108686,0.6048993374767544,0.06351412259615384,0.7605263157894737
16,1.2098536772799968,1.2098536772799968,1.590056737851208,0.25934602585196836,nan,nan,nan,nan,nan,0.21683642529494515,0.0687649609301646,0.5870150862068966,0.27654288621681883,0.3780728696509148,0.022717927631578948,3.7136096392333204,5.1036390927527355,0.23853600543478262,0.6324257583749027,0.8097500280710175,0.1891150841346154,0.6815789473684211
20,1.2711516953099378,1.2711516953099378,1.6728154193731983,0.26699238515178564,nan,nan,nan,nan,nan,0.22671743841748818,0.07859933715613093,0.5970126915708812,0.27654288621681883,0.3780728696509148,0.022717927631578948,3.723620174765149,5.125058733801644,0.22002377717391305,0.8577262818402942,1.109530736884104,0.22821514423076922,0.6770151288057837
15,1.7118169955036642,1.7118169955036642,2.264214959446747,0.330822085645958,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.2985501446057763,0.39708204455334994,0.052220394736842105,5.357447807764453,7.380386170000669,0.300101902173913,1.011255943228914,1.2773719022512489,0.3459660456730769,0.6421052631578947
